NombreProducto,PrecioUnit,CategoriaID (FK)
iphone 14 pro,1200,
MOUSE LOGITECH M185,25,
AirPods Pro,200,
Silla Gamer Razer,350,
Laptop Dell XPS 13,4500,
Teclado Mecánico Redragon,80,
Silla Gamer Razer,350,
Tablet Samsung Tab S8,800,
SILLA GAMER RAZER,350,
TECLADO MECÁNICO REDRAGON,80,
laptop dell xps 13,4500,
Teclado Mecánico Redragon,80,
iPhone 14 Pro,1200,
SAMSUNG GALAXY S23,1100,
"MONITOR LG 27""",300,
iPhone 14 Pro,1200,
SAMSUNG GALAXY S23,1100,
Silla Gamer Razer,350,
samsung galaxy s23,1100,
Mouse Logitech M185,25,
MOUSE LOGITECH M185,25,
Mouse Logitech M185,25,
airpods pro,200,
SAMSUNG GALAXY S23,1100,
iPhone 14 Pro,1200,
Teclado Mecánico Redragon,80,
AIRPODS PRO,200,
AIRPODS PRO,200,
AirPods Pro,200,
"Monitor LG 27""",300,
CÁMARA CANON EOS 90D,1500,
Laptop Dell XPS 13,4500,
Samsung Galaxy S23,1100,
Samsung Galaxy S23,1100,
Mouse Logitech M185,25,
Mouse Logitech M185,25,
Teclado Mecánico Redragon,80,
Samsung Galaxy S23,1100,
Mouse Logitech M185,25,
Samsung Galaxy S23,1100,
Cámara Canon EOS 90D,1500,
Mouse Logitech M185,25,
Laptop Dell XPS 13,4500,
Samsung Galaxy S23,1100,
AirPods Pro,200,
Laptop Dell XPS 13,4500,
Mouse Logitech M185,25,
Samsung Galaxy S23,1100,
Silla Gamer Razer,350,
AirPods Pro,200,
Tablet Samsung Tab S8,800,
LAPTOP DELL XPS 13,4500,
"Monitor LG 27""",300,
Tablet Samsung Tab S8,800,
iPhone 14 Pro,1200,
Cámara Canon EOS 90D,1500,
TECLADO MECÁNICO REDRAGON,80,
"monitor lg 27""",300,
Laptop Dell XPS 13,4500,
Laptop Dell XPS 13,4500,
MOUSE LOGITECH M185,25,
